Date,Type,Amount,Year,Month
2025-01-01,Expense,1100.0,2025,1
2025-01-02,Expense,14166.73,2025,1
2025-01-03,Expense,1174.53,2025,1
2025-01-04,Expense,26186.48,2025,1
2025-01-05,Expense,408.15,2025,1
2025-01-06,Expense,25261.43,2025,1
2025-01-07,Expense,44910.39,2025,1
2025-01-08,Expense,800.0,2025,1
2025-01-09,Expense,20124.8,2025,1
2025-01-10,Expense,804.72,2025,1
2025-01-11,Expense,10078.14,2025,1
2025-01-12,Expense,7158.41,2025,1
2025-01-13,Expense,8650.47,2025,1
2025-01-14,Expense,27762.42,2025,1
2025-01-15,Expense,13996.96,2025,1
2025-01-16,Expense,8910.49,2025,1
2025-01-17,Expense,800.0,2025,1
2025-01-18,Expense,8858.38,2025,1
2025-01-20,Expense,14014.66,2025,1
2025-01-21,Expense,29551.71,2025,1
2025-01-22,Expense,2430.05,2025,1
2025-01-23,Expense,27410.05,2025,1
2025-01-24,Expense,8141.75,2025,1
2025-01-25,Expense,2638.8,2025,1
2025-01-26,Expense,6221.48,2025,1
2025-01-27,Expense,6563.58,2025,1
2025-01-28,Expense,21552.8,2025,1
2025-01-29,Expense,800.16,2025,1
2025-01-30,Expense,15263.9,2025,1
2025-01-31,Expense,8525.79,2025,1
2025-02-01,Expense,14175.16,2025,2
2025-02-03,Expense,10025.85,2025,2
2025-02-04,Expense,8633.4,2025,2
2025-02-05,Expense,25663.0,2025,2
2025-02-06,Expense,17671.61,2025,2
2025-02-07,Expense,6800.0,2025,2
2025-02-08,Expense,19627.7,2025,2
2025-02-09,Expense,8897.28,2025,2
2025-02-10,Expense,10043.06,2025,2
2025-02-11,Expense,12317.61,2025,2
2025-02-12,Expense,4590.61,2025,2
2025-02-13,Expense,18137.31,2025,2
2025-02-14,Expense,3178.19,2025,2
2025-02-15,Expense,9539.46,2025,2
2025-02-16,Expense,3016.32,2025,2
2025-02-17,Expense,11740.13,2025,2
2025-02-18,Expense,205.96,2025,2
2025-02-19,Expense,35049.91,2025,2
2025-02-20,Expense,8944.16,2025,2
2025-02-21,Expense,7884.99,2025,2
2025-02-22,Expense,800.0,2025,2
2025-02-23,Expense,9461.27,2025,2
2025-02-24,Expense,10224.41,2025,2
2025-02-25,Expense,9053.1,2025,2
2025-02-26,Expense,13475.56,2025,2
2025-02-27,Expense,21920.92,2025,2
2025-02-28,Expense,5597.69,2025,2
2025-03-01,Expense,10379.54,2025,3
2025-03-03,Expense,7862.62,2025,3
2025-03-04,Expense,15362.72,2025,3
2025-03-05,Expense,800.0,2025,3
2025-03-06,Expense,13244.19,2025,3
2025-03-07,Expense,20437.03,2025,3
2025-03-08,Expense,7434.59,2025,3
2025-03-09,Expense,10892.15,2025,3
2025-03-10,Expense,11246.51,2025,3
2025-03-11,Expense,31734.3,2025,3
2025-03-12,Expense,1400.0,2025,3
2025-03-13,Expense,6660.56,2025,3
2025-03-14,Expense,500.0,2025,3
2025-03-15,Expense,27177.58,2025,3
2025-03-16,Expense,1310.98,2025,3
2025-03-17,Expense,34085.09,2025,3
2025-03-18,Expense,9766.31,2025,3
2025-03-19,Expense,800.0,2025,3
2025-03-20,Expense,12864.27,2025,3
2025-03-21,Expense,800.0,2025,3
2025-03-23,Expense,10302.1,2025,3
2025-03-24,Expense,25418.48,2025,3
2025-03-25,Expense,14171.65,2025,3
2025-03-26,Expense,800.0,2025,3
2025-03-28,Expense,5518.5,2025,3
2025-03-29,Expense,39664.42,2025,3
2025-03-30,Expense,184.98,2025,3
2025-03-31,Expense,14858.66,2025,3
2025-04-01,Expense,10048.38,2025,4
2025-04-02,Expense,800.0,2025,4
2025-04-03,Expense,25918.7,2025,4
2025-04-04,Expense,4660.56,2025,4
2025-04-05,Expense,992.98,2025,4
2025-04-06,Expense,6101.77,2025,4
2025-04-07,Expense,8823.39,2025,4
2025-04-08,Expense,26405.39,2025,4
2025-04-09,Expense,800.0,2025,4
2025-04-10,Expense,20637.15,2025,4
2025-04-11,Expense,15620.0,2025,4
2025-04-12,Expense,6942.5,2025,4
2025-04-13,Expense,260.5,2025,4
2025-04-14,Expense,46799.89,2025,4
2025-04-15,Expense,11092.04,2025,4
2025-04-16,Expense,19836.08,2025,4
2025-04-17,Expense,17204.31,2025,4
2025-04-18,Expense,8664.51,2025,4
2025-04-21,Expense,7384.62,2025,4
2025-04-22,Expense,38188.24,2025,4
2025-04-23,Expense,800.0,2025,4
2025-04-24,Expense,16538.32,2025,4
2025-04-25,Expense,806.95,2025,4
2025-04-26,Expense,31109.61,2025,4
2025-04-28,Expense,10279.14,2025,4
2025-04-29,Expense,29397.25,2025,4
2025-04-30,Expense,800.0,2025,4
2025-05-01,Expense,19634.23,2025,5
2025-05-02,Expense,9294.47,2025,5
2025-05-03,Expense,26579.44,2025,5
2025-05-04,Expense,54.99,2025,5
2025-05-05,Expense,13380.48,2025,5
2025-05-06,Expense,5470.97,2025,5
2025-05-07,Expense,800.08,2025,5
2025-05-08,Expense,8387.48,2025,5
